0,0,Drink8,light ice,extra sugar,
1,0,Drink18,extra ice,regular sugar,
2,0,Drink19,extra ice,light sugar,
3,0,Drink17,extra ice,light sugar,
4,0,Drink6,regular ice,extra sugar,
5,0,Drink18,light ice,light sugar,
6,0,Drink10,extra ice,extra sugar,
7,0,Drink7,regular ice,regular sugar,
8,0,Drink16,light ice,extra sugar,
9,0,Drink19,extra ice,regular sugar,
10,0,Drink11,light ice,light sugar,
11,0,Drink13,light ice,light sugar,
12,0,Drink14,light ice,extra sugar,
13,0,Drink7,light ice,extra sugar,
14,0,Drink8,regular ice,regular sugar,
15,0,Drink1,extra ice,light sugar,
16,0,Drink1,light ice,extra sugar,
17,0,Drink7,light ice,extra sugar,
18,0,Drink11,regular ice,extra sugar,
19,0,Drink2,extra ice,extra sugar,
20,0,Drink12,regular ice,extra sugar,
21,0,Drink18,light ice,extra sugar,
22,0,Drink11,regular ice,regular sugar,
23,0,Drink19,regular ice,light sugar,
24,0,Drink12,regular ice,light sugar,
25,0,Drink10,regular ice,regular sugar,
26,0,Drink0,extra ice,regular sugar,
27,0,Drink14,regular ice,light sugar,
28,0,Drink7,light ice,light sugar,
29,0,Drink10,light ice,extra sugar,
30,0,Drink13,light ice,extra sugar,
31,0,Drink15,regular ice,light sugar,
32,0,Drink12,extra ice,extra sugar,
33,0,Drink11,regular ice,extra sugar,
34,0,Drink15,regular ice,extra sugar,
35,0,Drink15,regular ice,extra sugar,
36,0,Drink6,light ice,light sugar,
37,0,Drink8,extra ice,extra sugar,
38,0,Drink13,extra ice,regular sugar,
39,0,Drink10,light ice,light sugar,
40,0,Drink1,regular ice,regular sugar,
41,0,Drink2,light ice,extra sugar,
42,0,Drink6,regular ice,regular sugar,
43,0,Drink9,regular ice,regular sugar,
44,0,Drink1,light ice,extra sugar,
45,0,Drink14,extra ice,light sugar,
46,0,Drink2,regular ice,extra sugar,
47,0,Drink9,extra ice,extra sugar,
48,0,Drink4,regular ice,light sugar,
49,0,Drink4,light ice,regular sugar,
50,0,Drink10,extra ice,light sugar,
51,0,Drink4,extra ice,extra sugar,
52,0,Drink10,light ice,light sugar,
53,0,Drink1,regular ice,light sugar,
54,0,Drink3,regular ice,regular sugar,
55,0,Drink18,light ice,light sugar,
56,0,Drink14,extra ice,light sugar,
57,0,Drink1,extra ice,regular sugar,
58,0,Drink18,extra ice,regular sugar,
59,0,Drink11,extra ice,extra sugar,
60,0,Drink0,regular ice,regular sugar,
61,0,Drink8,light ice,regular sugar,
62,0,Drink15,regular ice,regular sugar,
63,0,Drink10,light ice,light sugar,
64,0,Drink10,regular ice,light sugar,
65,0,Drink4,extra ice,light sugar,
66,0,Drink12,regular ice,extra sugar,
67,0,Drink1,extra ice,light sugar,
68,0,Drink13,extra ice,extra sugar,
69,0,Drink13,extra ice,extra sugar,
70,0,Drink13,extra ice,extra sugar,
71,0,Drink17,extra ice,extra sugar,
72,0,Drink12,regular ice,extra sugar,
