id, customer_name, order_date, total_cost, hour, 
1,Person 1,1,20.0,12
2,Person 2,1,15.0,12
3,Person 3,1,10.0,12
4,Person 4,1,5.0,12
5,Person 5,1,10.0,12
6,Person 6,1,5.0,12
7,Person 7,1,15.0,19
8,Person 8,1,10.0,19
9,Person 9,1,5.0,19
10,Person 10,1,25.0,20
11,Person 11,1,20.0,20
12,Person 12,1,15.0,20
13,Person 13,1,10.0,20
14,Person 14,1,5.0,20
15,Person 15,1,10.0,15
16,Person 16,1,5.0,15
17,Person 17,1,25.0,14
18,Person 18,1,20.0,14
19,Person 19,1,15.0,14
20,Person 20,1,10.0,14
21,Person 21,1,5.0,14
22,Person 22,1,10.0,13
23,Person 23,1,5.0,13
24,Person 24,1,10.0,16
25,Person 25,1,5.0,16
26,Person 26,1,20.0,16
27,Person 27,1,15.0,16
28,Person 28,1,10.0,16
29,Person 29,1,5.0,16
30,Person 30,1,30.0,14
31,Person 31,1,25.0,14
32,Person 32,1,20.0,14
33,Person 33,1,15.0,14
34,Person 34,1,10.0,14
35,Person 35,1,5.0,14
36,Person 36,1,20.0,21
37,Person 37,1,15.0,21
38,Person 38,1,10.0,21
39,Person 39,1,5.0,21
40,Person 40,1,25.0,15
41,Person 41,1,20.0,15
42,Person 42,1,15.0,15
43,Person 43,1,10.0,15
44,Person 44,1,5.0,15
45,Person 45,1,30.0,21
46,Person 46,1,25.0,21
47,Person 47,1,20.0,21
48,Person 48,1,15.0,21
49,Person 49,1,10.0,21
50,Person 50,1,5.0,21
51,Person 51,1,25.0,21
52,Person 52,1,20.0,21
53,Person 53,1,15.0,21
54,Person 54,1,10.0,21
55,Person 55,1,5.0,21
56,Person 56,1,20.0,21
57,Person 57,1,15.0,21
58,Person 58,1,10.0,21
59,Person 59,1,5.0,21
60,Person 60,1,20.0,16
61,Person 61,1,15.0,16
62,Person 62,1,10.0,16
63,Person 63,1,5.0,16
64,Person 64,1,30.0,12
65,Person 65,1,25.0,12
66,Person 66,1,20.0,12
67,Person 67,1,15.0,12
68,Person 68,1,10.0,12
69,Person 69,1,5.0,12
70,Person 70,1,25.0,15
71,Person 71,1,20.0,15
72,Person 72,1,15.0,15
73,Person 73,1,10.0,15
74,Person 74,1,5.0,15
75,Person 75,1,5.0,20
76,Person 76,1,5.0,20
77,Person 77,1,30.0,15
78,Person 78,1,25.0,15
79,Person 79,1,20.0,15
80,Person 80,1,15.0,15
81,Person 81,1,10.0,15
82,Person 82,1,5.0,15
83,Person 83,1,30.0,18
84,Person 84,1,25.0,18
85,Person 85,1,20.0,18
86,Person 86,1,15.0,18
87,Person 87,1,10.0,18
88,Person 88,1,5.0,18
89,Person 89,1,10.0,11
90,Person 90,1,5.0,11
91,Person 91,1,20.0,11
92,Person 92,1,15.0,11
93,Person 93,1,10.0,11
94,Person 94,1,5.0,11
95,Person 95,1,10.0,20
96,Person 96,1,5.0,20
97,Person 97,1,15.0,18
98,Person 98,1,10.0,18
99,Person 99,1,5.0,18
100,Person 100,1,20.0,18
101,Person 101,1,15.0,18
102,Person 102,1,10.0,18
103,Person 103,1,5.0,18
104,Person 104,1,5.0,21
105,Person 105,1,30.0,12
106,Person 106,1,25.0,12
107,Person 107,1,20.0,12
108,Person 108,1,15.0,12
109,Person 109,1,10.0,12
110,Person 110,1,5.0,12
111,Person 111,1,25.0,17
112,Person 112,1,20.0,17
113,Person 113,1,15.0,17
114,Person 114,1,10.0,17
115,Person 115,1,5.0,17
116,Person 116,1,30.0,15
117,Person 117,1,25.0,15
118,Person 118,1,20.0,15
119,Person 119,1,15.0,15
120,Person 120,1,10.0,15
121,Person 121,1,5.0,15
122,Person 122,1,20.0,18
123,Person 123,1,15.0,18
124,Person 124,1,10.0,18
125,Person 125,1,5.0,18
126,Person 126,1,25.0,20
127,Person 127,1,20.0,20
128,Person 128,1,15.0,20
129,Person 129,1,10.0,20
130,Person 130,1,5.0,20
131,Person 131,1,15.0,16
132,Person 132,1,10.0,16
133,Person 133,1,5.0,16
134,Person 134,1,15.0,18
135,Person 135,1,10.0,18
136,Person 136,1,5.0,18
137,Person 137,1,30.0,14
138,Person 138,1,25.0,14
139,Person 139,1,20.0,14
140,Person 140,1,15.0,14
141,Person 141,1,10.0,14
142,Person 142,1,5.0,14
143,Person 143,1,15.0,16
144,Person 144,1,10.0,16
145,Person 145,1,5.0,16
146,Person 146,1,15.0,17
147,Person 147,1,10.0,17
148,Person 148,1,5.0,17
149,Person 149,1,30.0,16
150,Person 150,1,25.0,16
151,Person 151,1,20.0,16
152,Person 152,1,15.0,16
153,Person 153,1,10.0,16
154,Person 154,1,5.0,16
155,Person 155,1,20.0,14
156,Person 156,1,15.0,14
157,Person 157,1,10.0,14
158,Person 158,1,5.0,14
159,Person 159,1,15.0,16
160,Person 160,1,10.0,16
161,Person 161,1,5.0,16
162,Person 162,1,10.0,21
163,Person 163,1,5.0,21
164,Person 164,1,20.0,15
165,Person 165,1,15.0,15
166,Person 166,1,10.0,15
167,Person 167,1,5.0,15
168,Person 168,1,10.0,11
169,Person 169,1,5.0,11
170,Person 170,1,5.0,14
171,Person 171,1,30.0,16
172,Person 172,1,25.0,16
173,Person 173,1,20.0,16
174,Person 174,1,15.0,16
175,Person 175,1,10.0,16
176,Person 176,1,5.0,16
177,Person 177,1,20.0,20
178,Person 178,1,15.0,20
179,Person 179,1,10.0,20
180,Person 180,1,5.0,20
181,Person 181,1,10.0,16
182,Person 182,1,5.0,16
183,Person 183,1,20.0,19
184,Person 184,1,15.0,19
185,Person 185,1,10.0,19
186,Person 186,1,5.0,19
187,Person 187,1,25.0,19
188,Person 188,1,20.0,19
189,Person 189,1,15.0,19
190,Person 190,1,10.0,19
191,Person 191,1,5.0,19
192,Person 192,1,25.0,13
193,Person 193,1,20.0,13
194,Person 194,1,15.0,13
195,Person 195,1,10.0,13
196,Person 196,1,5.0,13
197,Person 197,1,15.0,14
198,Person 198,1,10.0,14
199,Person 199,1,5.0,14
200,Person 200,1,20.0,17
201,Person 201,1,15.0,17
202,Person 202,1,10.0,17
203,Person 203,1,5.0,17
204,Person 204,1,15.0,12
205,Person 205,1,10.0,12
206,Person 206,1,5.0,12
207,Person 207,1,20.0,14
208,Person 208,1,15.0,14
209,Person 209,1,10.0,14
210,Person 210,1,5.0,14
211,Person 211,1,25.0,17
212,Person 212,1,20.0,17
213,Person 213,1,15.0,17
214,Person 214,1,10.0,17
215,Person 215,1,5.0,17
216,Person 216,1,30.0,21
217,Person 217,1,25.0,21
218,Person 218,1,20.0,21
219,Person 219,1,15.0,21
220,Person 220,1,10.0,21
221,Person 221,1,5.0,21
222,Person 222,1,15.0,13
223,Person 223,1,10.0,13
224,Person 224,1,5.0,13
225,Person 225,1,25.0,19
226,Person 226,1,20.0,19
227,Person 227,1,15.0,19
228,Person 228,1,10.0,19
229,Person 229,1,5.0,19
230,Person 230,1,10.0,12
231,Person 231,1,5.0,12
232,Person 232,1,30.0,18
233,Person 233,1,25.0,18
234,Person 234,1,20.0,18
235,Person 235,1,15.0,18
236,Person 236,1,10.0,18
237,Person 237,1,5.0,18
238,Person 238,1,25.0,19
239,Person 239,1,20.0,19
240,Person 240,1,15.0,19
241,Person 241,1,10.0,19
242,Person 242,1,5.0,19
243,Person 243,1,5.0,18
244,Person 244,1,15.0,21
